symbol,provider_symbol,asset_class,region,provider
asx/CRB,CRB.AX,stock,AU,yahoo
asx/CRD,CRD.AX,stock,AU,yahoo
asx/CRI,CRI.AX,stock,AU,yahoo
asx/CRN,CRN.AX,stock,AU,yahoo
asx/CRR,CRR.AX,stock,AU,yahoo
asx/CRS,CRS.AX,stock,AU,yahoo
asx/CSC,CSC.AX,stock,AU,yahoo
asx/CSL,CSL.AX,stock,AU,yahoo
asx/CST,CST.AX,stock,AU,yahoo
asx/CSX,CSX.AX,stock,AU,yahoo
asx/CT1,CT1.AX,stock,AU,yahoo
asx/CTD,CTD.AX,stock,AU,yahoo
asx/CTE,CTE.AX,stock,AU,yahoo
asx/CTM,CTM.AX,stock,AU,yahoo
asx/CTN,CTN.AX,stock,AU,yahoo
asx/CTO,CTO.AX,stock,AU,yahoo
asx/CTP,CTP.AX,stock,AU,yahoo
asx/CTQ,CTQ.AX,stock,AU,yahoo
asx/CTT,CTT.AX,stock,AU,yahoo
asx/CU6,CU6.AX,stock,AU,yahoo
asx/CUE,CUE.AX,stock,AU,yahoo
asx/CUF,CUF.AX,stock,AU,yahoo
asx/CUL,CUL.AX,stock,AU,yahoo
asx/CUP,CUP.AX,stock,AU,yahoo
asx/CUV,CUV.AX,stock,AU,yahoo
asx/CVB,CVB.AX,stock,AU,yahoo
asx/CVC,CVC.AX,stock,AU,yahoo
asx/CVL,CVL.AX,stock,AU,yahoo
asx/CVN,CVN.AX,stock,AU,yahoo
asx/CVR,CVR.AX,stock,AU,yahoo
asx/CVV,CVV.AX,stock,AU,yahoo
asx/CVW,CVW.AX,stock,AU,yahoo
asx/CWP,CWP.AX,stock,AU,yahoo
asx/CWY,CWY.AX,stock,AU,yahoo
asx/CXL,CXL.AX,stock,AU,yahoo
asx/CXO,CXO.AX,stock,AU,yahoo
asx/CXU,CXU.AX,stock,AU,yahoo
asx/CXZ,CXZ.AX,stock,AU,yahoo
asx/CY5,CY5.AX,stock,AU,yahoo
asx/CYB,CYB.AX,stock,AU,yahoo
